logtype,instance_id,instance_type,qubo_vars,success_runs,failed_runs
QuEra,UDMIS026EXT,UDMIS,80,1,0
QuEra,UDMIS015EXT,UDMIS,40,1,0
QuEra,UDMIS025EXT,UDMIS,80,1,0
QuEra,UDMIS094EXT,UDMIS,70,1,0
QuEra,UDMIS047EXT,UDMIS,36,1,0
QuEra,UDMIS010EXT,UDMIS,36,1,0
QuEra,UDMIS052EXT,UDMIS,49,1,0
QuEra,UDMIS006EXT,UDMIS,25,1,0
QuEra,UDMIS087EXT,UDMIS,40,1,0
QuEra,UDMIS067EXT,UDMIS,100,1,0
QuEra,UDMIS065EXT,UDMIS,90,1,0
QuEra,UDMIS060EXT,UDMIS,70,1,0
QuEra,UDMIS041EXT,UDMIS,25,1,0
QuEra,UDMIS4TG,UDMIS,15,1,0
QuEra,UDMIS101EXT,UDMIS,90,1,0
QuEra,UDMIS056EXT,UDMIS,60,1,0
QuEra,UDMIS058EXT,UDMIS,70,1,0
QuEra,UDMIS040EXT,UDMIS,25,1,0
QuEra,UDMIS044EXT,UDMIS,30,1,0
QuEra,UDMIS022EXT,UDMIS,70,1,0
QuEra,UDMIS100EXT,UDMIS,90,1,0
QuEra,UDMIS090EXT,UDMIS,49,1,0
QuEra,UDMIS037EXT,UDMIS,15,1,0
QuEra,UDMIS011EXT,UDMIS,36,1,0
QuEra,UDMIS043EXT,UDMIS,30,1,0
QuEra,UDMIS009EXT,UDMIS,30,1,0
QuEra,UDMIS107EXT,UDMIS,120,1,0
QuEra,UDMIS019EXT,UDMIS,60,1,0
QuEra,UDMIS064EXT,UDMIS,90,1,0
QuEra,UDMIS048EXT,UDMIS,36,1,0
QuEra,UDMIS042EXT,UDMIS,25,1,0
QuEra,UDMIS049EXT,UDMIS,40,1,0
QuEra,UDMIS092EXT,UDMIS,60,1,0
QuEra,UDMIS001EXT,UDMIS,15,1,0
QuEra,UDMIS055EXT,UDMIS,60,1,0
QuEra,UDMIS102EXT,UDMIS,90,1,0
QuEra,UDMIS095EXT,UDMIS,70,1,0
QuEra,UDMIS012EXT,UDMIS,36,1,0
QuEra,UDMIS032EXT,UDMIS,100,1,0
QuEra,UDMIS062EXT,UDMIS,80,1,0
QuEra,UDMIS9TG,UDMIS,150,2,0
QuEra,UDMIS070EXT,UDMIS,120,1,0
QuEra,UDMIS039EXT,UDMIS,15,1,0
QuEra,UDMIS8TG,UDMIS,80,2,0
QuEra,UDMIS068EXT,UDMIS,100,1,0
QuEra,UDMIS057EXT,UDMIS,60,1,0
QuEra,UDMIS083EXT,UDMIS,36,1,0
QuEra,UDMIS103EXT,UDMIS,100,1,0
QuEra,UDMIS004EXT,UDMIS,25,1,0
QuEra,UDMIS071EXT,UDMIS,120,1,0
QuEra,UDMIS108EXT,UDMIS,120,1,0
QuEra,UDMIS005EXT,UDMIS,25,1,0
QuEra,UDMIS089EXT,UDMIS,49,1,0
QuEra,UDMIS051EXT,UDMIS,40,1,0
QuEra,UDMIS021EXT,UDMIS,60,1,0
QuEra,UDMIS082EXT,UDMIS,36,1,0
QuEra,UDMIS066EXT,UDMIS,90,1,0
QuEra,UDMIS027EXT,UDMIS,80,1,0
QuEra,UDMIS035EXT,UDMIS,120,1,0
QuEra,UDMIS069EXT,UDMIS,100,1,0
QuEra,UDMIS072EXT,UDMIS,120,1,0
QuEra,UDMIS054EXT,UDMIS,49,1,0
QuEra,UDMIS002EXT,UDMIS,15,1,0
QuEra,UDMIS7TG,UDMIS,30,1,0
QuEra,UDMIS017EXT,UDMIS,49,1,0
QuEra,UDMIS020EXT,UDMIS,60,1,0
QuEra,UDMIS080EXT,UDMIS,30,1,0
QuEra,UDMIS1TG,UDMIS,8,1,0
QuEra,UDMIS099EXT,UDMIS,80,1,0
QuEra,UDMIS6TG,UDMIS,60,1,0
QuEra,UDMIS5TG,UDMIS,30,1,0
QuEra,UDMIS084EXT,UDMIS,36,1,0
QuEra,UDMIS086EXT,UDMIS,40,1,0
QuEra,UDMIS036EXT,UDMIS,120,1,0
QuEra,UDMIS046EXT,UDMIS,36,1,0
QuEra,UDMIS091EXT,UDMIS,60,1,0
QuEra,UDMIS033EXT,UDMIS,100,1,0
QuEra,UDMIS073EXT,UDMIS,15,1,0
QuEra,UDMIS030EXT,UDMIS,90,1,0
QuEra,UDMIS050EXT,UDMIS,40,1,0
QuEra,UDMIS018EXT,UDMIS,49,1,0
QuEra,UDMIS075EXT,UDMIS,15,1,0
QuEra,UDMIS097EXT,UDMIS,80,1,0
QuEra,UDMIS016EXT,UDMIS,49,1,0
QuEra,UDMIS013EXT,UDMIS,40,1,0
QuEra,UDMIS2TG,UDMIS,15,1,0
QuEra,UDMIS077EXT,UDMIS,25,1,0
QuEra,UDMIS061EXT,UDMIS,80,1,0
QuEra,UDMIS104EXT,UDMIS,100,1,0
QuEra,UDMIS079EXT,UDMIS,30,1,0
QuEra,UDMIS098EXT,UDMIS,80,1,0
QuEra,UDMIS029EXT,UDMIS,90,1,0
QuEra,UDMIS3TG,UDMIS,25,1,0
QuEra,UDMIS023EXT,UDMIS,70,1,0
QuEra,UDMIS008EXT,UDMIS,30,1,0
QuEra,UDMIS093EXT,UDMIS,60,1,0
QuEra,UDMIS088EXT,UDMIS,49,1,0
QuEra,UDMIS074EXT,UDMIS,15,1,0
QuEra,UDMIS053EXT,UDMIS,49,1,0
QuEra,UDMIS106EXT,UDMIS,120,1,0
QuEra,UDMIS076EXT,UDMIS,25,1,0
QuEra,UDMIS024EXT,UDMIS,70,1,0
QuEra,UDMIS105EXT,UDMIS,100,1,0
QuEra,UDMIS028EXT,UDMIS,90,1,0
QuEra,UDMIS045EXT,UDMIS,30,1,0
QuEra,UDMIS038EXT,UDMIS,15,1,0
QuEra,UDMIS085EXT,UDMIS,40,1,0
QuEra,UDMIS059EXT,UDMIS,70,1,0
QuEra,UDMIS063EXT,UDMIS,80,1,0
QuEra,UDMIS078EXT,UDMIS,25,1,0
QuEra,UDMIS034EXT,UDMIS,120,1,0
QuEra,UDMIS031EXT,UDMIS,100,1,0
QuEra,UDMIS081EXT,UDMIS,30,1,0
QuEra,UDMIS096EXT,UDMIS,70,1,0
QuEra,UDMIS014EXT,UDMIS,40,1,0
QuEra,UDMIS003EXT,UDMIS,15,1,0
QuEra,UDMIS007EXT,UDMIS,30,1,0
